date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,Sugar_N0,Sugar_N1,Sugar_N2,Sugar_N3,Sugar_N4,Sugar_N5,Sugar_N6
1990-01-29,O,1990-01-29 03:30:00,1990-01-29 13:00:00,1990-01-29 12:53:00,1990-01-29 12:55:00,6,,199003,199005,199007,199010,199103,199105
1990-01-30,O,1990-01-30 03:30:00,1990-01-30 13:00:00,1990-01-30 12:53:00,1990-01-30 12:55:00,5,,199003,199005,199007,199010,199103,199105
1990-01-31,O,1990-01-31 03:30:00,1990-01-31 13:00:00,1990-01-31 12:53:00,1990-01-31 12:55:00,4,,199003,199005,199007,199010,199103,199105
1990-02-01,O,1990-02-01 03:30:00,1990-02-01 13:00:00,1990-02-01 12:53:00,1990-02-01 12:55:00,3,,199003,199005,199007,199010,199103,199105
1990-02-02,O,1990-02-02 03:30:00,1990-02-02 13:00:00,1990-02-02 12:53:00,1990-02-02 12:55:00,2,,199003,199005,199007,199010,199103,199105
1990-02-05,O,1990-02-05 03:30:00,1990-02-05 13:00:00,1990-02-05 12:53:00,1990-02-05 12:55:00,1,,199003,199005,199007,199010,199103,199105
1990-02-06,O,1990-02-06 03:30:00,1990-02-06 13:00:00,1990-02-06 12:53:00,1990-02-06 12:55:00,0,,199003,199005,199007,199010,199103,199105
1990-02-07,O,1990-02-07 03:30:00,1990-02-07 13:00:00,1990-02-07 12:53:00,1990-02-07 12:55:00,41,199003,199005,199007,199010,199103,199105,199107
1990-02-08,O,1990-02-08 03:30:00,1990-02-08 13:00:00,1990-02-08 12:53:00,1990-02-08 12:55:00,40,199003,199005,199007,199010,199103,199105,199107
1990-02-09,O,1990-02-09 03:30:00,1990-02-09 13:00:00,1990-02-09 12:53:00,1990-02-09 12:55:00,39,199003,199005,199007,199010,199103,199105,199107
1990-02-12,O,1990-02-12 03:30:00,1990-02-12 13:00:00,1990-02-12 12:53:00,1990-02-12 12:55:00,38,199003,199005,199007,199010,199103,199105,199107
1990-02-13,O,1990-02-13 03:30:00,1990-02-13 13:00:00,1990-02-13 12:53:00,1990-02-13 12:55:00,37,199003,199005,199007,199010,199103,199105,199107
1990-02-14,O,1990-02-14 03:30:00,1990-02-14 13:00:00,1990-02-14 12:53:00,1990-02-14 12:55:00,36,199003,199005,199007,199010,199103,199105,199107
1990-02-15,O,1990-02-15 03:30:00,1990-02-15 13:00:00,1990-02-15 12:53:00,1990-02-15 12:55:00,35,199003,199005,199007,199010,199103,199105,199107
1990-02-16,O,1990-02-16 03:30:00,1990-02-16 13:00:00,1990-02-16 12:53:00,1990-02-16 12:55:00,34,199003,199005,199007,199010,199103,199105,199107
1990-02-19,X,,,,,,,,,,,,
1990-02-20,O,1990-02-20 03:30:00,1990-02-20 13:00:00,1990-02-20 12:53:00,1990-02-20 12:55:00,33,199003,199005,199007,199010,199103,199105,199107
1990-02-21,O,1990-02-21 03:30:00,1990-02-21 13:00:00,1990-02-21 12:53:00,1990-02-21 12:55:00,32,199003,199005,199007,199010,199103,199105,199107
1990-02-22,O,1990-02-22 03:30:00,1990-02-22 13:00:00,1990-02-22 12:53:00,1990-02-22 12:55:00,31,199003,199005,199007,199010,199103,199105,199107
1990-02-23,O,1990-02-23 03:30:00,1990-02-23 13:00:00,1990-02-23 12:53:00,1990-02-23 12:55:00,30,199003,199005,199007,199010,199103,199105,199107
1990-02-26,O,1990-02-26 03:30:00,1990-02-26 13:00:00,1990-02-26 12:53:00,1990-02-26 12:55:00,29,199003,199005,199007,199010,199103,199105,199107
1990-02-27,O,1990-02-27 03:30:00,1990-02-27 13:00:00,1990-02-27 12:53:00,1990-02-27 12:55:00,28,199003,199005,199007,199010,199103,199105,199107
1990-02-28,O,1990-02-28 03:30:00,1990-02-28 13:00:00,1990-02-28 12:53:00,1990-02-28 12:55:00,27,199003,199005,199007,199010,199103,199105,199107
1990-03-01,O,1990-03-01 03:30:00,1990-03-01 13:00:00,1990-03-01 12:53:00,1990-03-01 12:55:00,26,,199005,199007,199010,199103,199105,199107
1990-03-02,O,1990-03-02 03:30:00,1990-03-02 13:00:00,1990-03-02 12:53:00,1990-03-02 12:55:00,25,,199005,199007,199010,199103,199105,199107
1990-03-05,O,1990-03-05 03:30:00,1990-03-05 13:00:00,1990-03-05 12:53:00,1990-03-05 12:55:00,24,,199005,199007,199010,199103,199105,199107
1990-03-06,O,1990-03-06 03:30:00,1990-03-06 13:00:00,1990-03-06 12:53:00,1990-03-06 12:55:00,23,,199005,199007,199010,199103,199105,199107
1990-03-07,O,1990-03-07 03:30:00,1990-03-07 13:00:00,1990-03-07 12:53:00,1990-03-07 12:55:00,22,,199005,199007,199010,199103,199105,199107
1990-03-08,O,1990-03-08 03:30:00,1990-03-08 13:00:00,1990-03-08 12:53:00,1990-03-08 12:55:00,21,,199005,199007,199010,199103,199105,199107
1990-03-09,O,1990-03-09 03:30:00,1990-03-09 13:00:00,1990-03-09 12:53:00,1990-03-09 12:55:00,20,,199005,199007,199010,199103,199105,199107
1990-03-12,O,1990-03-12 03:30:00,1990-03-12 13:00:00,1990-03-12 12:53:00,1990-03-12 12:55:00,19,,199005,199007,199010,199103,199105,199107
