date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,EuroStoxx600_N0,EuroStoxx600_N1,EuroStoxx600_N2,EuroStoxx600_N3,EuroStoxx600_N4,EuroStoxx600_N5,EuroStoxx600_N6
1991-01-30,O,1991-01-30 01:50:00,1991-01-30 16:00:00,1991-01-30 11:29:00,1991-01-30 11:30:00,4931,,,,,,,
1991-01-31,O,1991-01-31 01:50:00,1991-01-31 16:00:00,1991-01-31 11:29:00,1991-01-31 11:30:00,4930,,,,,,,
1991-02-01,O,1991-02-01 01:50:00,1991-02-01 16:00:00,1991-02-01 11:29:00,1991-02-01 11:30:00,4929,,,,,,,
1991-02-04,O,1991-02-04 01:50:00,1991-02-04 16:00:00,1991-02-04 11:29:00,1991-02-04 11:30:00,4928,,,,,,,
1991-02-05,O,1991-02-05 01:50:00,1991-02-05 16:00:00,1991-02-05 11:29:00,1991-02-05 11:30:00,4927,,,,,,,
1991-02-06,O,1991-02-06 01:50:00,1991-02-06 16:00:00,1991-02-06 11:29:00,1991-02-06 11:30:00,4926,,,,,,,
1991-02-07,O,1991-02-07 01:50:00,1991-02-07 16:00:00,1991-02-07 11:29:00,1991-02-07 11:30:00,4925,,,,,,,
1991-02-08,O,1991-02-08 01:50:00,1991-02-08 16:00:00,1991-02-08 11:29:00,1991-02-08 11:30:00,4924,,,,,,,
1991-02-11,O,1991-02-11 01:50:00,1991-02-11 16:00:00,1991-02-11 11:29:00,1991-02-11 11:30:00,4923,,,,,,,
1991-02-12,O,1991-02-12 01:50:00,1991-02-12 16:00:00,1991-02-12 11:29:00,1991-02-12 11:30:00,4922,,,,,,,
1991-02-13,O,1991-02-13 01:50:00,1991-02-13 16:00:00,1991-02-13 11:29:00,1991-02-13 11:30:00,4921,,,,,,,
1991-02-14,O,1991-02-14 01:50:00,1991-02-14 16:00:00,1991-02-14 11:29:00,1991-02-14 11:30:00,4920,,,,,,,
1991-02-15,O,1991-02-15 01:50:00,1991-02-15 16:00:00,1991-02-15 11:29:00,1991-02-15 11:30:00,4919,,,,,,,
1991-02-18,O,1991-02-18 01:50:00,1991-02-18 16:00:00,1991-02-18 11:29:00,1991-02-18 11:30:00,4918,,,,,,,
1991-02-19,O,1991-02-19 01:50:00,1991-02-19 16:00:00,1991-02-19 11:29:00,1991-02-19 11:30:00,4917,,,,,,,
1991-02-20,O,1991-02-20 01:50:00,1991-02-20 16:00:00,1991-02-20 11:29:00,1991-02-20 11:30:00,4916,,,,,,,
1991-02-21,O,1991-02-21 01:50:00,1991-02-21 16:00:00,1991-02-21 11:29:00,1991-02-21 11:30:00,4915,,,,,,,
1991-02-22,O,1991-02-22 01:50:00,1991-02-22 16:00:00,1991-02-22 11:29:00,1991-02-22 11:30:00,4914,,,,,,,
