date,date_type,trading_hours_start,trading_hours_end,settlement_start,settlement_end,roll_countdown,LondonSugar_N0,LondonSugar_N1,LondonSugar_N2,LondonSugar_N3,LondonSugar_N4,LondonSugar_N5,LondonSugar_N6
1990-01-01,X,,,,,,,,,,,,
1990-01-02,O,1990-01-02 04:45:00,1990-01-02 13:00:00,1990-01-02 12:53:00,1990-01-02 12:55:00,20,,199003,199005,199008,199010,199012,199103
1990-01-03,O,1990-01-03 04:45:00,1990-01-03 13:00:00,1990-01-03 12:53:00,1990-01-03 12:55:00,19,,199003,199005,199008,199010,199012,199103
1990-01-04,O,1990-01-04 04:45:00,1990-01-04 13:00:00,1990-01-04 12:53:00,1990-01-04 12:55:00,18,,199003,199005,199008,199010,199012,199103
1990-01-05,O,1990-01-05 04:45:00,1990-01-05 13:00:00,1990-01-05 12:53:00,1990-01-05 12:55:00,17,,199003,199005,199008,199010,199012,199103
1990-01-08,O,1990-01-08 04:45:00,1990-01-08 13:00:00,1990-01-08 12:53:00,1990-01-08 12:55:00,16,,199003,199005,199008,199010,199012,199103
1990-01-09,O,1990-01-09 04:45:00,1990-01-09 13:00:00,1990-01-09 12:53:00,1990-01-09 12:55:00,15,,199003,199005,199008,199010,199012,199103
1990-01-10,O,1990-01-10 04:45:00,1990-01-10 13:00:00,1990-01-10 12:53:00,1990-01-10 12:55:00,14,,199003,199005,199008,199010,199012,199103
1990-01-11,O,1990-01-11 04:45:00,1990-01-11 13:00:00,1990-01-11 12:53:00,1990-01-11 12:55:00,13,,199003,199005,199008,199010,199012,199103
1990-01-12,O,1990-01-12 04:45:00,1990-01-12 13:00:00,1990-01-12 12:53:00,1990-01-12 12:55:00,12,,199003,199005,199008,199010,199012,199103
1990-01-15,O,1990-01-15 04:45:00,1990-01-15 13:00:00,1990-01-15 12:53:00,1990-01-15 12:55:00,11,,199003,199005,199008,199010,199012,199103
1990-01-16,O,1990-01-16 04:45:00,1990-01-16 13:00:00,1990-01-16 12:53:00,1990-01-16 12:55:00,10,,199003,199005,199008,199010,199012,199103
1990-01-17,O,1990-01-17 04:45:00,1990-01-17 13:00:00,1990-01-17 12:53:00,1990-01-17 12:55:00,9,,199003,199005,199008,199010,199012,199103
1990-01-18,O,1990-01-18 04:45:00,1990-01-18 13:00:00,1990-01-18 12:53:00,1990-01-18 12:55:00,8,,199003,199005,199008,199010,199012,199103
1990-01-19,O,1990-01-19 04:45:00,1990-01-19 13:00:00,1990-01-19 12:53:00,1990-01-19 12:55:00,7,,199003,199005,199008,199010,199012,199103
1990-01-22,O,1990-01-22 04:45:00,1990-01-22 13:00:00,1990-01-22 12:53:00,1990-01-22 12:55:00,6,,199003,199005,199008,199010,199012,199103
1990-01-23,O,1990-01-23 04:45:00,1990-01-23 13:00:00,1990-01-23 12:53:00,1990-01-23 12:55:00,5,,199003,199005,199008,199010,199012,199103
1990-01-24,O,1990-01-24 04:45:00,1990-01-24 13:00:00,1990-01-24 12:53:00,1990-01-24 12:55:00,4,,199003,199005,199008,199010,199012,199103
1990-01-25,O,1990-01-25 04:45:00,1990-01-25 13:00:00,1990-01-25 12:53:00,1990-01-25 12:55:00,3,,199003,199005,199008,199010,199012,199103
1990-01-26,O,1990-01-26 04:45:00,1990-01-26 13:00:00,1990-01-26 12:53:00,1990-01-26 12:55:00,2,,199003,199005,199008,199010,199012,199103
1990-01-29,O,1990-01-29 04:45:00,1990-01-29 13:00:00,1990-01-29 12:53:00,1990-01-29 12:55:00,1,,199003,199005,199008,199010,199012,199103
1990-01-30,O,1990-01-30 04:45:00,1990-01-30 13:00:00,1990-01-30 12:53:00,1990-01-30 12:55:00,0,,199003,199005,199008,199010,199012,199103
1990-01-31,O,1990-01-31 04:45:00,1990-01-31 13:00:00,1990-01-31 12:53:00,1990-01-31 12:55:00,41,199003,199005,199008,199010,199012,199103,199105
1990-02-01,O,1990-02-01 04:45:00,1990-02-01 13:00:00,1990-02-01 12:53:00,1990-02-01 12:55:00,40,199003,199005,199008,199010,199012,199103,199105
1990-02-02,O,1990-02-02 04:45:00,1990-02-02 13:00:00,1990-02-02 12:53:00,1990-02-02 12:55:00,39,199003,199005,199008,199010,199012,199103,199105
1990-02-05,O,1990-02-05 04:45:00,1990-02-05 13:00:00,1990-02-05 12:53:00,1990-02-05 12:55:00,38,199003,199005,199008,199010,199012,199103,199105
1990-02-06,O,1990-02-06 04:45:00,1990-02-06 13:00:00,1990-02-06 12:53:00,1990-02-06 12:55:00,37,199003,199005,199008,199010,199012,199103,199105
1990-02-07,O,1990-02-07 04:45:00,1990-02-07 13:00:00,1990-02-07 12:53:00,1990-02-07 12:55:00,36,199003,199005,199008,199010,199012,199103,199105
1990-02-08,O,1990-02-08 04:45:00,1990-02-08 13:00:00,1990-02-08 12:53:00,1990-02-08 12:55:00,35,199003,199005,199008,199010,199012,199103,199105
1990-02-09,O,1990-02-09 04:45:00,1990-02-09 13:00:00,1990-02-09 12:53:00,1990-02-09 12:55:00,34,199003,199005,199008,199010,199012,199103,199105
